code_name,Ru_Partial charge,Ru_Dipole moment,Ru_Electrophil.,Ru_Nucleophil.,Ru_Radical attack,Ru_SASA,Ru_Buried volume,Ru_H bond with H2O,Ru_s proportion,Ru_p proportion,Ru_d proportion,Ru_Coord. numbers,Ru_Polariz. alpha,Ru_FOD,Ru_Dispersion,Ru_Pyramidalization,Ru_Pyramidaliz. volume,HOMO-LUMO gap,HOMO,LUMO,IP,EA,Dipole module,Total charge,Global SASA,G solv. in H2O,G of H-bonds H2O,Fermi-level,Total polariz. alpha,Total FOD,Hardness,Softness,Electronegativity,Electrophil. idx,Nucleophilicity idx,Second IP,Second EA,S0-T1 gap,MolLogP,conv,sel,sel2,yield,TON,TON2
CAAC.19_pre,0.2012,0.7566,0.0475,0.0438,0.0463,0,0.9324,0,0.4289,0.6502,6.7629,4.0597,37.8214,0.5601,60.0174,0.9509,7.902,5.3438,-5.9504,-0.6066,6.1414,0.9615,1.5779,0,712.3262,-16.5281,-1.4471,-8.4196,437.1977,1.3042,5.1799,0.1931,3.5514,1.2174,1.1027,9.8806,6.7749,31.6684,11.02788,16,97,1,15,50000,0
NHC.112_pre,0.1004,0.7671,0.035,0.053,0.0438,0,0.9176,0,0.421,0.6656,6.7237,4.2358,37.7793,0.5852,56.9963,0.015,1.6486,5.0703,-5.3611,-0.2908,5.9324,1.0536,3.6687,0,759.1464,-23.1392,-1.8439,-8.2655,428.6957,1.4759,4.8788,0.2049,3.493,1.2504,1.0983,9.63,7.2814,30.2116,9.18039,19,71,0,13,6700,0
CAAC.18_pre,0.1822,0.746,0.049,0.0453,0.0477,0,0.9334,0,0.427,0.652,6.764,4.084,37.822,0.5636,71.8217,0.0584,1.489,5.3497,-5.9312,-0.5814,6.1545,0.9702,1.5173,0,715.6416,-16.5329,-1.446,-8.425,443.7207,1.3068,5.1843,0.1929,3.5624,1.2239,1.0981,9.8905,6.7754,31.4544,11.17198,13,97,1,13,43000,0
NHC.117_pre,0.1691,0.7392,0.0261,0.0511,0.0392,0,0.9306,0,0.427,0.6821,6.6837,4.1657,37.757,0.6368,61.6369,0.0514,2.2751,4.3111,-4.882,-0.5709,5.7679,1.1648,6.3262,0,761.525,-26.1045,-1.9602,-8.1714,468.0263,1.6854,4.6031,0.2172,3.4663,1.3052,1.0796,9.3905,7.6329,29.1235,10.80526,33,98,1,32,32000,0
CAAC.15_pre,0.1382,0.6725,0.0474,0.0462,0.0474,0,0.9348,0,0.4222,0.6625,6.7726,4.4546,37.8582,0.5663,60.1805,0.068,0.6738,5.3222,-5.8499,-0.5277,6.1035,0.9125,2.2823,0,681.0811,-17.9272,-1.6406,-8.3701,401.8891,1.314,5.1911,0.1926,3.508,1.1853,1.1239,9.8933,6.6622,31.1721,9.70634,26,86,0,22,73000,0
CAAC.26_pre,0.2052,0.7339,0.0477,0.044,0.0454,0,0.9495,0,0.4291,0.6597,6.7474,4.0567,37.7903,0.5662,64.1538,0.9383,7.5951,5.2569,-5.7891,-0.5322,6.1611,0.9724,1.624,0,708.456,-16.5417,-1.4525,-8.4247,453.3501,1.3463,5.1887,0.1927,3.5668,1.2259,1.0966,9.8333,6.9019,31.6466,10.7545,61,95,1,58,192000,0
CAAC.40_pre,0.1355,0.713,0.0436,0.0476,0.0457,0,0.9171,0,0.428,0.6594,6.747,4.1416,37.8221,0.5621,52.9606,0.0295,1.0888,5.7092,-6.2858,-0.5765,6.2332,1.1831,1.2841,0,762.5634,-15.6172,-1.4795,-8.5826,458.0298,1.3865,5.0501,0.198,3.7081,1.3614,1.0219,9.7549,7.3968,32.5339,31.07508,46,94,1,44,44800,0
CAAC.14_pre,0.14,0.6533,0.0526,0.0513,0.0513,0,0.9401,0,0.417,0.655,6.787,4.623,37.864,0.5905,54.6006,0.0682,0.8528,5.1262,-5.774,-0.6478,6.1678,1.016,1.9086,0,669.153,-17.5083,-1.5087,-8.4497,402.0749,1.3667,5.1518,0.1941,3.5919,1.2522,1.0817,10.0762,6.7147,29.4487,9.90448,22,63,0,14,47000,0
CAAC.27_pre,0.2037,0.731,0.047,0.0446,0.0458,0,0.9503,0,0.428,0.6599,6.7494,4.0528,37.7984,0.5677,66.5511,0.9373,7.7073,5.2435,-5.7435,-0.5,6.1203,0.9426,2.2204,0,732.1811,-17.0364,-1.5516,-8.3828,464.8506,1.3446,5.1777,0.1931,3.5315,1.2044,1.1116,9.7444,6.8901,31.6816,11.06292,60,93,1,56,186000,0
CAAC.41_pre,0.1285,0.7264,0.0434,0.0462,0.0448,0,0.9047,0,0.4289,0.6657,6.7393,4.1363,37.8175,0.5581,51.7798,0.8912,7.3332,5.7833,-6.3179,-0.5346,6.2934,1.1666,1.3118,0,697.1841,-14.6355,-1.4188,-8.5996,395.435,1.3317,5.1268,0.195,3.73,1.3569,1.0206,9.9145,7.2854,33.2765,9.06398,46,91,1,42,42600,0
CAAC.25_pre,0.2066,0.716,0.046,0.043,0.0443,0,0.9557,0,0.4291,0.6585,6.747,4.0326,37.7955,0.5613,67.0176,0.9503,7.8996,5.3205,-5.8252,-0.5047,6.144,0.9564,1.9692,0,717.2627,-16.7137,-1.4394,-8.4019,464.9844,1.3346,5.1877,0.1928,3.5502,1.2148,1.104,9.8207,6.9164,32.1122,11.17938,47,98,1,46,150000,0
CAAC.16_pre,0.1473,0.672,0.0475,0.0462,0.0474,0,0.9426,0,0.4217,0.6587,6.7775,4.4581,37.8598,0.5614,64.865,0.1456,1.3243,5.3056,-5.8962,-0.5906,6.1347,0.9633,1.8495,0,677.8952,-17.329,-1.5035,-8.413,413.6864,1.3181,5.1715,0.1934,3.5491,1.2179,1.1029,9.9383,6.7395,31.2145,10.2129,42,92,1,39,130000,0
CAAC.43_pre,0.1534,0.6467,0.0464,0.05,0.0488,0,0.953,0,0.419,0.647,6.788,4.29,37.868,0.6034,61.4036,0.2084,3.064,5.2015,-5.7558,-0.5543,6.1059,0.9729,2.199,0,712.0629,-17.0053,-1.4078,-8.387,455.2218,1.374,5.133,0.1948,3.5394,1.2203,1.1035,9.8502,6.7844,30.8064,11.56208,0.3,81,0,0.2,116,0
sCAAC.07_pre,0.2238,0.7509,0.0496,0.031,0.0404,0,0.9556,0,0.4284,0.6526,6.757,4.1057,37.7806,0.5584,69.1542,0.9469,7.756,5.162,-5.7166,-0.5547,6.0015,1.024,1.9821,0,791.7019,-19.6408,-2.0079,-8.4424,504.4463,1.3938,4.9775,0.2009,3.5127,1.2395,1.0998,9.3131,6.9461,31.0428,11.12288,72,94,1,67.7,1353600,1
CAAC.24_pre,0.1985,0.7146,0.0467,0.0443,0.0455,0,0.9471,0,0.4283,0.6599,6.75,4.0294,37.798,0.5652,64.0179,0.8848,7.2641,5.3124,-5.8304,-0.5179,6.1767,0.97,2.0879,0,695.1582,-16.7507,-1.4675,-8.4293,441.6401,1.3412,5.2067,0.192,3.5734,1.2263,1.0954,9.8838,6.9039,31.912,10.3644,57,94,1,54,180000,0
CAAC.17_pre,0.1811,0.7606,0.0522,0.0485,0.0497,0,0.9145,0,0.425,0.642,6.7789,4.1099,37.817,0.5796,56.7663,0.0695,1.5686,5.2499,-5.8809,-0.6309,6.1327,0.955,1.8081,0,697.2102,-17.5428,-1.626,-8.4037,408.5534,1.3347,5.1777,0.1931,3.5438,1.2128,1.106,9.8929,6.6812,29.7852,9.85044,19,78,0,14,47000,0
CAAC.42_pre,0.1289,0.7175,0.0435,0.0471,0.0452,0,0.9077,0,0.428,0.659,6.746,4.1518,37.8208,0.5625,53.5373,0.013,0.5186,5.6584,-6.2476,-0.5892,6.2123,1.1829,0.9955,0,770.9254,-15.6663,-1.4216,-8.5689,464.5634,1.3975,5.0294,0.1988,3.6976,1.3592,1.0243,9.7283,7.4022,32.1802,10.79748,14,27,0,4,4100,0
CAAC.12_pre,0.1836,0.7451,0.0474,0.0462,0.0462,0,0.9252,0,0.428,0.658,6.7533,4.0557,37.813,0.5592,56.5873,0.9416,7.646,5.4124,-5.9423,-0.5299,6.203,0.9468,1.961,0,658.8197,-16.1936,-1.4847,-8.4275,402.13,1.2848,5.2562,0.1903,3.5749,1.2157,1.0995,9.9613,6.7492,32.2908,9.6068,18,94,1,17,57000,0
CAAC.21_pre,0.1361,0.6718,0.0485,0.0488,0.0488,0,0.9351,0,0.4198,0.6646,6.7756,4.3754,37.8562,0.5655,59.6531,0.1544,1.9782,5.3712,-5.8991,-0.5279,6.0998,0.9631,2.3673,0,706.8768,-19.528,-1.6628,-8.387,429.6377,1.3588,5.1367,0.1947,3.5315,1.214,1.1075,9.8158,6.9144,31.086,9.85784,41,83,0,34,110000,0
sCAAC.03_pre,0.2127,0.7407,0.0477,0.0428,0.0452,0,0.9541,0,0.428,0.658,6.748,4.1005,37.789,0.5588,72.561,0.9571,8.0059,5.2405,-5.7534,-0.5129,6.1356,0.9708,1.6315,0,726.793,-16.3583,-1.4699,-8.4084,471.4242,1.3404,5.1648,0.1937,3.5532,1.2222,1.1004,9.7412,6.923,31.6918,11.10568,45,96,1,43.2,864000,1
CAAC.46_pre,0.2074,0.6844,0.0503,0.0476,0.0491,0,0.9402,0,0.4244,0.6269,6.8048,4.0133,37.8432,0.619,17.0467,0.91,7.7071,4.8748,-5.6722,-0.7973,6.0763,1.03,1.6742,0,682.6146,-17.8051,-1.4609,-8.4116,425.4002,1.4392,5.0463,0.1982,3.5531,1.2509,1.0884,9.8872,6.7549,28.2245,10.603,4.4,77,0,3.4,1705,0
CAAC.13_pre,0.1852,0.7341,0.0472,0.046,0.0466,0,0.9325,0,0.4275,0.6553,6.755,4.073,37.8105,0.5783,58.2418,0.9386,7.6919,5.2666,-5.8277,-0.5611,6.1871,0.9679,2.047,0,675.2522,-15.8088,-1.4693,-8.4296,413.9212,1.3184,5.2192,0.1916,3.5775,1.2261,1.0948,9.9822,6.7493,31.5504,10.24768,19,97,1,18,60000,0
CAAC.20_pre,0.1515,0.6469,0.0517,0.0529,0.0529,0,0.9501,0,0.42,0.6598,6.7852,4.605,37.881,0.6003,66.7072,0.0914,1.2926,5.1337,-5.8256,-0.6918,6.1137,1.0417,1.8153,0,714.2213,-17.9598,-1.4197,-8.4355,456.5381,1.4015,5.0719,0.1971,3.5777,1.2618,1.0801,9.795,6.8054,29.9915,10.54198,5,0,0,0,0,0
CAAC.44_pre,0.145,0.6365,0.045,0.0462,0.045,0,0.9533,0,0.419,0.659,6.78,4.7979,37.87,0.5638,66.3209,0.0088,0.1532,5.421,-5.8599,-0.4388,6.0693,0.9157,2.0663,0,706.5414,-17.8676,-1.4721,-8.3411,448.6244,1.3157,5.1536,0.194,3.4925,1.1834,1.1274,9.8288,6.7507,31.7939,11.41798,0.7,80,0,0.5,257,0
CAAC.22_pre,0.1882,0.7296,0.0484,0.0451,0.0472,0,0.9406,0,0.4258,0.6532,6.7631,4.122,37.8102,0.5739,62.5744,0.4831,4.4315,5.1662,-5.769,-0.6028,6.1492,1.003,1.8839,0,686.5128,-17.1138,-1.4804,-8.4388,429.9803,1.3756,5.1462,0.1944,3.5761,1.2426,1.0882,9.8847,6.9185,30.573,9.8034,46,85,0,39,130000,0
CAAC.11_pre,0.1745,0.7467,0.0473,0.0473,0.0473,0,0.927,0,0.427,0.657,6.755,4.069,37.804,0.5622,64.1018,0.9363,7.5641,5.3479,-5.8624,-0.5145,6.2152,0.9403,1.9693,0,652.8931,-16.0566,-1.5123,-8.4241,390.552,1.2785,5.2749,0.1896,3.5777,1.2133,1.1001,10.0336,6.7047,32.1353,9.4327,59,92,1,54,180000,0
CAAC.45_pre,0.1572,0.6853,0.0477,0.0471,0.0477,0,0.9382,0,0.4204,0.6414,6.7928,4.2803,37.8468,0.5819,58.3309,0.1542,2,5.2263,-5.8105,-0.5842,6.0854,0.9572,1.779,0,691.4742,-17.9486,-1.4814,-8.3673,431.862,1.3538,5.1282,0.195,3.5213,1.209,1.1114,9.8675,6.7342,30.0907,10.7471,3.7,93,1,3.4,1720,0
CAAC.23_pre,0.1433,0.6754,0.0485,0.0466,0.0472,0,0.9399,0,0.4201,0.655,6.7816,4.2486,37.8513,0.5822,62.466,0.1162,1.6447,5.1817,-5.8316,-0.65,6.0979,1.0394,2.17,0,706.4004,-18.3548,-1.4913,-8.4271,441.5172,1.4219,5.0585,0.1977,3.5686,1.2588,1.0828,9.8475,6.9843,29.5671,10.05738,48,88,0,43,140000,0
CAAC.10_pre,0.181,0.7575,0.0478,0.0444,0.0461,0,0.9274,0,0.4284,0.6541,6.7575,4.0829,37.8022,0.5618,61.8166,0.5632,4.5909,5.3427,-5.8973,-0.5545,6.1946,0.9445,1.741,0,653.1628,-16.111,-1.4931,-8.4301,390.6303,1.2893,5.2501,0.1904,3.5695,1.2135,1.1014,10.0188,6.7047,31.6779,9.12568,42,88,0,37,120000,0
